Issue Id,Parent Id,Issue Type,Summary,Description,Acceptance Criteria,Story Points,Priority,Labels,Component,Phase,Sprint,Repo
2001,,Epic,Foundation: private repository and upstream tracking,"Stand up the private repository extracted from matchamfraser/legalworkflows at commit 8b3466f, with the remote topology that keeps upstream security fixes mergeable. The fork is currently at exact parity with upstream - 581 commits, no divergence - so this is the cheapest moment to get the structure right.",Private repo exists and is protected; a clean clone builds; upstream-main mirrors upstream and merges fast-forward.,,Highest,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2002,2001,Story,Extract into a private repository with history intact,"Clone the full tree with history rather than copying files. History is what makes upstream merges possible and is the cleanest record of what changed and when, which AGPL section 5(a) asks you to state. Do NOT squash or re-init.",git log on backend/src/app.ts shows pre-extraction commits; npm ci and npm run build pass from a clean clone.,,Highest,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2003,2002,Sub-task,Clone with full history and rewire remotes,"git clone the existing fork, then: rename origin to fork, add upstream = Open-Legal-Products/legalworkflows, add origin = the new private repo. Three remotes, each with one job. Push main to the new origin.",git remote -v shows all three; git log --oneline | wc -l returns 581.,3,Highest,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2004,2002,Sub-task,Create the protected upstream-main mirror branch,"Branch upstream-main from upstream/main and push it. Nothing is ever committed to this branch - it exists only as a clean merge base. Protect it to allow fast-forward pushes only, so it cannot drift.",upstream-main exists on origin; a non-fast-forward push to it is rejected.,2,Highest,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2005,2002,Sub-task,Configure branch protection and merge rules on main,"Protect main: require a PR, require status checks to pass, require branches up to date before merging, no force push, auto-delete merged branches. Solo development still benefits - this is what makes CI actually gate anything.",Direct push to main is rejected; a PR with red CI cannot merge.,1,High,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2006,2002,Sub-task,Add fork-specific rules to AGENTS.md,"The repo already carries a strong AGENTS.md. Add a section at the top covering the four constraints specific to this fork: the HTTP-only service boundary to Juralio, the user-visible-only rename rule with its do-not-touch list, the additive-changes-in-new-files merge rule, and the rule that LICENSE is never deleted or altered.",AGENTS.md states all four rules; both the developer and Claude Code are bound by them from the first commit.,2,High,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2007,2001,Story,Establish and prove the upstream merge routine,Upstream merged 581 commits in roughly four months. A sync routine that is documented and exercised once now is far cheaper than one improvised in six months against a large diff.,A documented three-command sync exists and has been run end to end at least once.,,High,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2008,2007,Sub-task,Document and script the upstream sync,"fetch upstream, fast-forward upstream-main, merge upstream-main into main, resolve, test, push. Note the .gitattributes convention already in the repo: package-lock.json is merged as binary deliberately, so conflicts surface explicitly - resolve by taking main's copy and regenerating.",docs/upstream-sync.md exists; the routine is reproducible from it alone.,2,High,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2009,2007,Sub-task,Run a first upstream merge as a dry run,"Execute the routine before any local divergence exists, so the mechanics are proven while a conflict is impossible. Records a baseline merge commit.",Merge completes; full backend and frontend suites green afterwards.,1,Medium,foundation,Platform,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2010,,Epic,Unblock the build,"Two inherited dependencies stop the project dead on a restricted network. Neither is a code defect, both must be cleared before any CI work can be validated. Verified in review: npm ci fails with a 403 today.","npm ci completes on a filtered network; all 117 backend test files run, not 80.",,Highest,blocker,Backend,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2011,2010,Story,Remove the SheetJS CDN dependency,"backend/package.json pins xlsx to https://cdn.sheetjs.com/xlsx-0.20.3/xlsx-0.20.3.tgz - a direct vendor tarball, not a registry package. Any proxy or air-gapped runner fails npm ci outright, and Dependabot cannot see it. Only backend/src/lib/spreadsheet.ts imports it.",npm ci --prefix backend succeeds behind an egress filter; spreadsheet parsing behaviour is unchanged.,,Highest,blocker,Backend,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2012,2011,Sub-task,Replace xlsx with exceljs in spreadsheet.ts,"exceljs is already a frontend dependency, so it is a known quantity. Preserve the current output contract exactly: a cell-addressed markdown table per sheet, using the Excel-formatted display string (cell.w equivalent) so dates and currency reach the model as a human sees them, with cached formula results rather than formulas.","Existing spreadsheet tests pass unchanged; a sample .xlsx, .xlsm and legacy .xls each produce identical output to the previous implementation.",8,Highest,blocker,Backend,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2013,2011,Sub-task,Verify a clean install and the full backend suite,"Confirm the fix on a network that blocks non-registry hosts. Before this ticket, 31 of 117 backend test files cannot be exercised at all.","npm ci, npm run build and npm test all pass; test file count is 117, not 80.",2,Highest,blocker,Backend,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2014,2010,Story,Take ownership of the workflow catalogue,"System assistant and tabular-review workflows are not in this tree. A sync job downloads them at runtime from Open-Legal-Products/mike-workflows, and five defaults are hardcoded by key in backend/src/lib/workflowCatalogSource.ts. Product content is therefore controlled by a third party.",The catalogue syncs from a repository you control; upstream renaming or privatising theirs has no effect.,,High,blocker,Backend,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2015,2014,Sub-task,Fork mike-workflows and repoint the sync,"Fork the catalogue repository and set MIKE_WORKFLOWS_REPOSITORY to the fork. Check the catalogue repo's own licence first - it is a separate repository and may not be AGPL. The ingestion code is already hardened with size caps, path validation and timeouts, so this is configuration, not a rewrite.",Sync job pulls from the fork; workflows appear in the app; the catalogue repo licence is recorded.,3,High,blocker,Backend,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2016,2014,Sub-task,Verify catalogue sync end to end,"Run the sync job against an empty database and confirm the five defaults install, quick actions resolve, and add-ons appear in the catalogue.",Fresh database reaches a populated workflow catalogue with no manual steps.,2,Medium,blocker,Backend,Phase 1 - Extraction,Sprint 1,legal-workflow-service
2017,,Epic,CI/CD adaptation,"Nine of the eleven inherited workflows carry over, one must be deleted because it cannot work on a private repo, and one is optional. The inherited suite is unusually strong - mutation testing, a real-Supabase security suite and a schema drift check - and is worth preserving intact.",CI green on every PR; the security suites are required checks; no workflow fails for reasons unrelated to the code.,,Highest,ci,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2018,2017,Story,Port the inherited workflows to the private repo,Adapt the eleven workflows to the new repo topology and plan constraints.,Every retained workflow runs green; deleted and disabled ones are documented with the reason.,,Highest,ci,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2019,2018,Sub-task,Delete scorecard.yml and retarget branch filters,"scorecard.yml sets publish_results: true against the OpenSSF public API, which only accepts public repositories - it cannot work here. Separately, e2e.yml already filters on [main, upstream-main], which matches the topology from the foundation epic; confirm rather than change.",scorecard.yml removed with the reason in the commit message; e2e branch filter verified correct.,1,High,ci,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2020,2018,Sub-task,Configure Actions secrets and verify the e2e run,"Create ANTHROPIC_API_KEY (spend-capped, CI-scoped) for e2e.yml and LOADTEST_AUTH_TOKEN if the k6 job is retained. The e2e workflow boots Supabase, RustFS and Playwright on the runner, so this is the longest feedback loop to prove.",e2e workflow completes green on a pull request.,5,High,ci,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2021,2018,Sub-task,Enable Dependabot and confirm the advisory gate,".github/dependabot.yml already ships. On a private repo, Dependabot alerts and security updates must be enabled explicitly under Settings > Advanced Security. It pairs with security.yml, which fails the build on a high or critical advisory.",Dependabot opens a PR against a seeded outdated dependency; security.yml fails the build on a known advisory.,2,Medium,ci,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2022,2018,Sub-task,Confirm CodeQL availability on the account plan,"CodeQL on private repositories requires GitHub Advanced Security on some plans. Establish whether it runs; if not, record the gap and decide whether to buy the capability or accept the loss.",codeql.yml either runs green or is disabled with a documented decision.,1,Medium,ci,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2023,2018,Sub-task,Disable the Word add-in workflow while the add-in is deferred,"word-addin.yml runs Playwright against chromium and webkit. The add-in stays in the repo but is out of scope for these 24 weeks, so the job is noise. Disable rather than delete - it is re-enabled when the add-in is picked up.",Workflow disabled with a comment naming the sprint it should return in.,1,Low,ci,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2024,2017,Story,Make the security suites required checks,These are the gates that catch real damage on a service-role architecture. Protecting the branch without them is theatre.,A PR cannot merge with any of them red.,,Highest,"ci,security",Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2025,2024,Sub-task,"Require stack-tests, schema-drift, gitleaks and CI",stack-tests boots a real Supabase and asserts the deny-all RLS firewall holds for anon and authenticated clients - the only backstop for an architecture where the backend runs as service role. schema-drift compares a fresh database against an upgraded one. gitleaks scans full history.,All four are required status checks on main; each has run green at least once.,2,Highest,"ci,security",Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2026,2024,Sub-task,Keep mutation testing running against the security libs,"Stryker is scoped to access.ts, downloadTokens.ts and chat/citations.ts - the places where a hollow test is dangerous. It runs monthly as a drift check and does not gate merges upstream; keep that posture.",Mutation workflow runs and its report is retrievable; the scoped file list is unchanged.,1,Medium,"ci,security",Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2027,,Epic,Debranding,"Strip the upstream trademark from user-visible surfaces while leaving internal identifiers alone. About 260 files mention the name; only a few dozen are user-visible. Renaming database objects, environment variables or the API client buys nothing and guarantees conflicts on every upstream merge.","No upstream trademark appears in any user-visible surface; database, env var and module names are unchanged; all suites green.",,High,branding,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2028,2027,Story,Replace user-visible branding in the web app,"Work file by file from the identified list. Do NOT run a repo-wide find-and-replace: it will hit comments, test fixtures, table names and the API client, and unpicking it costs more than doing it properly.","Wordmark, metadata, MFA issuer and user-facing copy all carry the new brand; frontend build and 980 tests green.",,High,branding,Frontend,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2029,2028,Sub-task,Replace the wordmark and application metadata,frontend/src/app/components/site-logo.tsx carries the wordmark. frontend/src/app/layout.tsx carries the Open Graph siteName and image alt text. Both are rendered to users and to link previews.,Wordmark and OG metadata show the new brand; a shared link preview renders correctly.,3,High,branding,Frontend,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2030,2028,Sub-task,Change the MFA issuer name,"settings/security/page.tsx passes the brand to enrollMfa, which becomes the account label inside users' authenticator apps. Changing it after users enrol is disruptive, so it must be right before the first real account exists.",A newly enrolled TOTP factor shows the new brand in the authenticator app.,2,High,branding,Frontend,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2031,2028,Sub-task,Update user-facing copy across settings and modals,"settings/personalisation, tabular/AddColumnModal, workflows/WFEditColumnModal, shared/AddUserInput and assistant error text all name the assistant in copy shown to users.",No user-visible string names the upstream product; copy reads naturally with the new name.,3,Medium,branding,Frontend,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2032,2028,Sub-task,Replace icon components and image assets,"MikeIconUI.tsx in shared/ui, chat/mike-icon.tsx, and the marketing images under docs/assets. Keep the component filenames if you are tracking upstream - only the rendered artwork needs to change.",New mark renders in the app and add-in; upstream screenshots deleted from docs/assets.,3,Medium,branding,Frontend,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2033,2028,Sub-task,Update Word add-in surfaces,"word-addin WordAddinLogo.tsx is the branded lockup; EditCard.tsx and useWordDoc.ts carry user-facing strings naming the assistant. In scope even though the add-in is not shipped, so the brand is consistent when it is picked up.",Add-in task pane shows the new brand; typecheck passes.,3,Low,branding,Word Add-in,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2034,2027,Story,Fix the rename boundary in writing,"Without a written rule, the next rename will reach into the database and the merge cost becomes permanent.",The do-not-rename list is in AGENTS.md and has survived one upstream merge.,,High,branding,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2035,2034,Sub-task,Record the do-not-rename identifiers,"Four categories stay as they are: the mike_workflows and mike_workflow_assets tables with their 11 indexes and constraints; the MIKE_WORKFLOWS_REPOSITORY, _REF and _TOKEN environment variables; mikeApi.ts, which is 2,837 lines imported across the frontend; and the private package names. Each is invisible to users and expensive to change.",AGENTS.md lists all four with the reasoning; a reviewer can apply the rule without asking.,2,High,branding,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2036,2034,Sub-task,Verify the rebrand against a full build and suite,A find-and-replace error in this area typically surfaces as a broken import or a failed snapshot rather than a visible bug.,"frontend build, 141 test files, backend suite and lint all green; manual pass over every rebranded screen.",3,High,branding,Platform,Phase 1 - Extraction,Sprint 2,legal-workflow-service
2037,,Epic,Infrastructure foundation,"Provision the managed services the platform needs, as code where possible, with staging and production separated from the start. This is client-confidential legal material, so the two environments never share a database, a bucket or a secret.",Staging and production both provisioned; schema loaded and drift-checked; secrets generated per environment.,,Highest,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2038,2037,Story,Provision Supabase and load the schema,"backend/schema.sql is the complete fresh-install schema at 4,906 lines covering 50 tables; backend/migrations/ holds 85 dated incremental files. A fresh install loads the schema; an existing deployment applies only migrations newer than its recorded version, in filename order.",Both environments reach an identical schema; the drift check passes fresh against upgraded.,,Highest,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2039,2038,Sub-task,Create staging and production Supabase projects,"Separate projects, separate credentials, separate regions if data residency requires it. Never point staging at production data.",Two projects exist with no shared credentials; access is documented.,3,Highest,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2040,2038,Sub-task,Load the schema and verify RLS is deny-all,"RLS is enabled on 30 tables and defined with zero policies - deliberately deny-all, so a leaked publishable key reaches nothing. Confirm this holds on the real projects, not just in CI.",An anon client and a signed-in user client both return zero rows from every table; the service role reads normally.,5,Highest,"infra,security",Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2041,2038,Sub-task,"Configure auth: providers, email delivery and MFA","Auth flows need working email before anyone can be onboarded. Configure the mailer, the redirect URLs, Google OAuth if wanted, and confirm the MFA enrolment path end to end.","Signup, password reset and MFA enrolment all complete against staging.",5,High,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2042,2037,Story,Provision object storage,"S3-compatible storage holds every uploaded document. Direct browser uploads use presigned URLs, so CORS must be right or uploads fail in a way that looks like an application bug.","Documents upload, convert, download and delete correctly in staging.",,Highest,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2043,2042,Sub-task,Create buckets and apply the CORS policy,docker/storage-cors.json is the template shipped for the local stack; apply its equivalent to the real bucket. Separate buckets per environment.,A direct browser upload to staging succeeds from the application origin and is refused from another origin.,3,Highest,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2044,2042,Sub-task,Verify the signed-URL round trip,"Upload signing, download tokens and the tamper-evident export manifest all depend on correct storage configuration. Download tokens are HMAC-SHA256 with timing-safe comparison; each signed URL authorises only its own object key.","Upload, signed download and manifest verification all succeed; a tampered token is rejected.",3,High,"infra,security",Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2045,2037,Story,Secrets and configuration management,Four secrets must be generated per environment and never reused between them or derived from the Supabase key.,"Every environment has distinct high-entropy secrets held in a secret store, not in a repo or a shell history.",,Highest,"infra,security",Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2046,2045,Sub-task,Generate per-environment secrets,"openssl rand -hex 32 for each of DOWNLOAD_SIGNING_SECRET (HMAC for /download/:token), USER_API_KEYS_ENCRYPTION_SECRET (AES-256-GCM for stored per-user provider keys), AUTH_HANDOFF_ENCRYPTION_SECRET (only if the Word add-in is deployed) and MANIFEST_SIGNING_KEY (export signing).","Four distinct secrets per environment, stored in the platform secret manager; none appears in the repo.",2,Highest,"infra,security",Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2047,2045,Sub-task,Wire configuration into the deploy target,"Backend reads roughly 50 environment variables. The frontend needs only three: API_BASE_URL, NODE_ENV and one feature flag. Keep every backend secret out of NEXT_PUBLIC_* - that prefix ships to the browser.",Both services start from injected configuration with no local .env; a grep proves no secret is under a NEXT_PUBLIC_ name.,3,Highest,"infra,security",Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2048,,Epic,Deployment pipeline,"Get the service running in staging with a safe, repeatable deploy path. The backend is a standalone Express service with its own Dockerfile and entrypoint, so this is conventional container work with one wrinkle: it needs LibreOffice on the path.",A tagged commit reaches staging automatically; rollback is tested; migrations never race.,,Highest,"infra,ci",Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2049,2048,Story,Containerise and deploy the backend,"backend/Dockerfile exists. backend/railpack.json declares the extra system packages needed - libreoffice and fonts-liberation - which must be replicated on whatever host is chosen, or DOC/DOCX to PDF conversion fails at runtime rather than at build time.","Image builds, scans clean and runs in staging with document conversion working.",,Highest,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2050,2049,Sub-task,Build and scan the backend image,"Include LibreOffice and fonts-liberation. Add an image vulnerability scan to the pipeline and fail on high or critical findings, consistent with the existing npm advisory gate.","Image builds in CI, scan is green, a DOCX converts to PDF inside the running container.",5,Highest,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2051,2049,Sub-task,Deploy to staging with migrate-then-start ordering,"Migrations must complete before the new backend version starts, and must not run concurrently from multiple instances. Deploy order is migrate, then backend, then frontend if it is deployed at all.",A deploy from a clean state applies migrations exactly once and starts healthy.,5,Highest,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2052,2049,Sub-task,"Add health checks, rollback and deploy gating","The service exposes GET /health. Wire it to the platform health check, prove a rollback to the previous image, and gate the deploy on CI being green for that commit.",A deliberately broken deploy is caught by the health check and rolled back without manual intervention.,3,High,infra,Infrastructure,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2053,2048,Story,Decide the disposition of the inherited frontend,"Mike's Next.js app is not the customer-facing product - Juralio is. But mikeApi.ts is a 2,837-line typed client that documents the API contract, and the Playwright e2e suite drives the real flows through it. Keeping it in the repo is free; deploying it is a decision.","A decision is recorded, and the e2e suite still runs whichever way it goes.",,Medium,infra,Frontend,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2054,2053,Sub-task,"Deploy as an internal admin surface, or retire it","Recommended: deploy behind authentication as an internal operations and support console. It gives you a working UI for every backend capability at no build cost. If retired instead, the e2e suite needs a CI-only build target so it keeps running.","Either an internal surface is live and access-controlled, or e2e runs against a CI-only build with the decision documented.",5,Medium,infra,Frontend,Phase 2 - Infrastructure,Sprint 3,legal-workflow-service
2055,,Epic,Security remediation,"The findings from the repository assessment that must be closed before any environment holds real client documents. The codebase starts strong - AES-256-GCM key storage, timing-safe token comparison, a thorough SSRF blocklist, helmet, twelve rate limiters - so this is closing specific gaps, not a rebuild.",Audit trail answers who could see what and since when; no route reaches data without an access check; production limits configured.,,Highest,security,Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2056,2055,Story,Close the audit trail gaps,"Eighteen actions are audited today, covering chat turns, document edits, uploads, exports, organisation membership and invitations. Nothing records who granted or revoked access to a project, and nothing records authentication events. For software holding privileged material, those are the two questions you will actually be asked.","Share grants, revocations and authentication events all appear in the audit trail and in the export.",,Highest,security,Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2057,2056,Sub-task,Audit project share grant and revoke,"recordAudit in backend/src/lib/audit.ts is the insertion point. Add calls in lib/projectAccess.ts covering upsertProjectGrant, deleteProjectGrant and removeGrantsForEmail, recording actor, subject, resource and the resulting role.","Granting and revoking access each write an audit event naming actor, subject and role; both appear in the audit export.",5,Highest,security,Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2058,2056,Sub-task,Audit authentication events,"Login, logout, failed login, password reset, MFA enrolment and MFA removal. These are the events a client security questionnaire asks about by name.","Each event type is recorded with timestamp, actor and source; failures are distinguishable from successes.",5,Highest,security,Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2059,2055,Story,Harden the service-role authorisation boundary,"Because the backend runs as service role against a policy-free schema, correctness rests entirely on developers remembering to call the access helpers. A new endpoint that forgets ensureDocAccess is a cross-tenant data leak, not a permission error. There is no database backstop underneath.",Every route with a tenant-scoped resource has a test proving another tenant is denied.,,Highest,security,Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2060,2059,Sub-task,Add cross-tenant denial tests for every route,"Work the route list systematically. The pattern exists already in the integration suite; extend it so each endpoint has a case where user B requests user A's resource and receives a denial, not data.",Every tenant-scoped endpoint has a cross-tenant denial test; deliberately removing an access check turns a test red.,8,Highest,"security,test",Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2061,2059,Sub-task,Add a review checklist for unguarded service-role queries,A lint rule or documented PR checklist that flags a createServerSupabase query with no accompanying access-helper call in the same handler. Cheap insurance against the failure mode the architecture invites.,The check exists and has been exercised against a deliberately unguarded query.,3,High,security,Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2062,2055,Story,Production security baseline,Configuration that is correct for local development and wrong for the internet.,"Origins, limits and data policies are set for production and documented.",,High,security,Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2063,2062,Sub-task,Configure origins and rate limits for production,"backend/src/app.ts already carries helmet, a CORS allowlist and twelve distinct rate limiters, all tunable by environment variable. Set them for real traffic rather than accepting the development defaults, and confirm NODE_ENV=production only with HTTPS public URLs.",CORS rejects an unknown origin; each limiter is set deliberately with the value recorded.,3,High,security,Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2064,2062,Sub-task,"Document storage retention, logging and deletion behaviour","What is stored, where, for how long, what is logged, and what actually happens on deletion. userDataCleanup.ts is 1,008 lines and defines the real deletion behaviour - document it rather than describing an intention.",A written policy exists that matches the code; it is good enough to answer a client security questionnaire.,3,High,"security,compliance",Backend,Phase 2 - Infrastructure,Sprint 4,legal-workflow-service
2065,,Epic,Integration with the Juralio platform,"Wire the Apache-2.0 matter management platform to this service. The seam already exists and is clean: backend/ and frontend/ share no code, no npm workspace links them, and the only channel is HTTP via API_BASE_URL. Juralio becomes a second consumer of the same contract.",Juralio calls the workflow service over HTTP for a real end-to-end flow; no code crosses the boundary in either direction.,,Highest,integration,Integration,Phase 2 - Infrastructure,Sprint 4,juralio-frontend
2066,2065,Story,Build the HTTP client seam in Juralio,"Mike's own BFF proxy - frontend/src/app/api/[...path]/route.ts, 78 lines - is the reference pattern: it forwards the HttpOnly cookie session upstream so no key ever reaches the browser. Write Juralio's equivalent rather than importing that one.",Juralio reaches the workflow service through its own proxy; no credential is exposed to the browser.,,Highest,integration,Integration,Phase 2 - Infrastructure,Sprint 4,juralio-frontend
2067,2066,Sub-task,Write Juralio's proxy to the workflow service,"Forward the session, set forwarded-host and forwarded-proto, stream request and response bodies, no-store caching, manual redirect handling. Target the service base URL from configuration, never hardcoded.","A request from Juralio reaches the service and streams the response back, including SSE.",8,Highest,integration,Integration,Phase 2 - Infrastructure,Sprint 4,juralio-frontend
2068,2066,Sub-task,Re-declare the API types on the Juralio side,"Do NOT import Mike's types. Write the interfaces Juralio needs against the eighteen route prefixes it actually consumes. A few hundred lines of interface, and it is what keeps the two works legally separate.",Juralio typechecks with no dependency on the service repo; the types match the live API.,5,Highest,"integration,compliance",Integration,Phase 2 - Infrastructure,Sprint 4,juralio-frontend
2069,2066,Sub-task,Map identity and sessions between the two systems,"Decide how a Juralio user becomes a workflow-service principal: shared identity provider, token exchange, or per-request assertion. This choice determines whether the audit trail can attribute actions to a real person.","A Juralio user's actions appear in the service audit trail attributed to them, not to a service account.",8,Highest,"integration,security",Integration,Phase 2 - Infrastructure,Sprint 4,juralio-frontend
2070,2065,Story,Enforce the boundary in CI,"The service boundary is the thing that keeps Juralio's Apache-2.0 licensing separate from this service's AGPL. Under AGPL section 5(c) a combination cannot be undone, so the boundary is worth defending automatically rather than by memory.",A build fails if either repository imports code from the other.,,Highest,"compliance,ci",Integration,Phase 2 - Infrastructure,Sprint 4,juralio-frontend
2071,2070,Sub-task,Add a CI check that fails on cross-repo imports,"Fail the build on any import, submodule, package dependency or shared build step spanning the two repositories. Also flag copied files by content hash against the service repo's tree.",A deliberately added cross-repo import fails CI with a message explaining why.,5,Highest,"compliance,ci",Integration,Phase 2 - Infrastructure,Sprint 4,juralio-frontend
2072,,Epic,Licence compliance,"The combined deployment is AGPL-3.0. Apache-2.0 absorbs cleanly because every additional term it carries falls inside AGPL section 7's permitted list. Obligations are satisfied by a footer, a link and a release step - but they must exist before the first external user, not after. Drop this entire epic if a commercial licence is obtained.","Corresponding Source is offered to users from a network server, matching the deployed commit; all notices present.",,Highest,compliance,Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2073,2072,Story,Build the Corresponding Source publication pipeline,"AGPL section 13 requires a prominent offer of the Corresponding Source of the version users are actually interacting with. That means it belongs in the release pipeline, not in a manual process someone remembers.",Every production release automatically publishes matching source; the two cannot drift.,,Highest,"compliance,ci",Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
